"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"1","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",80.1,1.90363251608424
"2","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",76.9,1.88592633980143
"3","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",85.4,1.93145787068901
"4","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis","grey teal ",78,1.89209460269048
"5","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis","grey teal",82.8,1.91803033678488
"6","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis ","grey teal",82.5,1.91645394854993
"7","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck ",107.5,2.03140846425162
"8","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck",89.1,1.94987770403687
"9","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",97.9,1.99078269180314
"10","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",46,1.66275783168157
"11","America-Australia","Pedestrian","Anseriformes","Anatidae","Aythya australis","hardhead",87.2,1.94051648493257
"12","America-Australia","Pedestrian","Anseriformes","Anatidae","Aythya australis ","hardhead  ",88.4,1.94645226501307
"13","America-Australia","Pedestrian","Anseriformes","Anatidae","Aythya australis ","hardhead  ",41,1.61278385671974
"14","America-Australia","Pedestrian","Anseriformes","Anatidae","Biziura lobata","musk duck",69.9,1.84447717574568
"15","America-Australia","Pedestrian","Anseriformes","Anatidae","Biziura lobata","musk duck",55.6,1.74507479158206
"16","America-Australia","Pedestrian","Anseriformes","Anatidae","Cereopsis novaehollandiae","Cape Barren goose",82.6,1.91698004732038
"17","America-Australia","Pedestrian","Anseriformes","Anatidae","Cereopsis novaehollandiae","Cape Barren goose ",82.6,1.91698004732038
"18","America-Australia","Pedestrian","Anseriformes","Anatidae","Cereopsis novaehollandiae","Cape Barren goose ",105,2.02118929906994
"19","America-Australia","Pedestrian","Anseriformes","Anatidae","Chenonetta jubata ","Australian wood duck",25.5,1.40654018043396
"20","America-Australia","Pedestrian","Anseriformes","Anatidae","Cygnus atratus","black swan",78.3,1.89376176205794
"21","America-Australia","Pedestrian","Anseriformes","Anatidae","Cygnus atratus","black swan",47.9,1.68033551341456
"22","America-Australia","Pedestrian","Anseriformes","Anatidae","Cygnus atratus","black swan",97.3,1.98811284026835
"23","America-Australia","Pedestrian","Anseriformes","Anatidae","Dendrocygna eytoni","plumed whistling duck",130,2.11394335230684
"24","America-Australia","Pedestrian","Anseriformes","Anatidae","Malacorhynchus membranaceus","pink-eared duck ",31.5,1.4983105537896
"25","America-Australia","Pedestrian","Anseriformes","Anatidae","Malacorhynchus membranaceus","pink-eared duck",67.1,1.82672252016899
"26","America-Australia","Pedestrian","Anseriformes","Anatidae","Malacorhynchus membranaceus","pink-eared duck",65,1.81291335664286
"27","America-Australia","Pedestrian","Anseriformes","Anatidae","Malacorhynchus membranaceus","pink-eared duck",98,1.99122607569249
"28","America-Australia","Pedestrian","Anseriformes","Anatidae","Oxyura australis","blue-billed duck",68.3,1.83442070368153
"29","America-Australia","Pedestrian","Anseriformes","Anatidae","Oxyura australis ","blue-billed duck ",40,1.60205999132796
"30","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides","Australian shelduck",122.3,2.08742645703629
"31","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",111.5,2.04727486738418
"32","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",138.9,2.14270224573762
"33","America-Australia","Pedestrian","Anseriformes","Anatidae ","Anas gracilis","grey teal ",106.9,2.02897770520878
"34","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus","black swan ",3.6,0.556302500767287
"35","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus","black swan ",149,2.17318626841227
"36","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus ","black swan",50.4,1.70243053644553
"37","America-Australia","Pedestrian","Anseriformes","Anatidae ","Tadorna tadornoides","Australian shelduck",145,2.16136800223497
